"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"39027","433","Pin","","Mus. London,Brentford Public Library,Layton Collection 01487","Locality unknown","","46.227638","2.213749000000007","","None","None","None","120","23 head; 5.5 pin","","","Matte dark green.","Fairly smooth. Slightly encrusted medium green on head.","21 head; 6 1/8 pin","","","","This pin was originally straight. Point is missing.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17909019396","https://farm9.staticflickr.com/8859/17909019396_74112c3e10_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39028","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01488","Locality unknown","","46.227638","2.213749000000007","","None","None","None","189","head 6; pin slightly over 3","","","Dark brown. Chipped off at head end.","Smooth","pin 3","","","","Sharp point","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748464539","https://farm9.staticflickr.com/8845/17748464539_c954cc5f6e_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39029","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01492","Locality unknown","","46.227638","2.213749000000007","","None","None","None","146","head end 3.25","","","","Smooth, corroded in places. Dark golden bronze.","head end 3.5","","","","Pin of round section. Head is missing.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17931725042","https://farm6.staticflickr.com/5456/17931725042_7b5fa053f9_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39030","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01503","Locality unknown","","46.227638","2.213749000000007","","None","None","None","133","head 3","","","","Smooth, golden bronze, with tiny pitting.","head 3; pin about 1","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17934692415","https://farm6.staticflickr.com/5444/17934692415_acb92d7822_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39031","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01503","Locality unknown","","46.227638","2.213749000000007","","None","None","None","53.75","head 4 (slt. over); stem 1.5","","","Very dark brown","Smooth","head 4; stem 1.5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17908607126","https://farm8.staticflickr.com/7753/17908607126_858d0597de_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39032","433","Pin","","Mus. London,Brentford Public Library,Layton Collection 01506","Locality unknown","","46.227638","2.213749000000007","","None","None","None","163","head 8; stem 2.75","","","No patina.","Smooth. Golden bronze + gilt at the point.","3 (nearly)","","","","Stem is round in section. Head is formed by flattening and rolling the metal.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17747443500","https://farm8.staticflickr.com/7750/17747443500_65da5ae504_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39033","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01513","Locality unknown","","46.227638","2.213749000000007","","None","None","None","65","head 10","","","Slightly patinated.","Dark golden bronze.","head 3.75; pin 2.75","","","","Pin is roughly round in section, but square at point. At the head end, the pin has been flattened + rolled, to form the head. Stem is twisted.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17314185973","https://farm8.staticflickr.com/7785/17314185973_9f2d02b416_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39034","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01513","locality unknown","","46.227638","2.213749000000007","","None","None","None","66.5","head 13.5; pin 3.5","","","A little dark brown, on side of head.","Golden bronze. Tiny pitting.","pin 2.25; head 3.25 x 3.25 (round section)","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17908279816","https://farm9.staticflickr.com/8771/17908279816_a74021cdfb_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39035","433","Pin","","Brentford Public Library,Layton Collection, 01514","Locality unknown","","46.227638","2.213749000000007","","None","None","None","105.5","head 10 x 10 1/8","","","No patina.","Fairly smooth, but rather eaten into. Dark golden bronze.","pin 3 1/8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17908644356","https://farm9.staticflickr.com/8839/17908644356_623ab349e2_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
"39036","433","Pin","","Brentford Public Library,Layton Collection, 01515","Locality unknown","","46.227638","2.213749000000007","","None","None","None","81","head 5.5 x 6","","","Polished patina dark green.","Smooth","head 5; pin 2 1/8","","","","Very good preservation.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17312425524","https://farm9.staticflickr.com/8791/17312425524_9fbc286227_m.jpg","superuser",2.2137,46.2276,"ForeignUnprov"
