"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"40281","433","Pin","","Horniman Museum,Forest Hill, SE,Bought from Gregory","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","100","width of head 10","","","bight green patina on head only","Smooth, bronze colour","3","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18316049276","https://farm1.staticflickr.com/274/18316049276_b7c43c0ff9_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40282","433","Pin","","Horniman Museum,Forest Hill, SE,Bought from Gregory","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","190","width of head 7","","14.17","No patina","Smooth, golden bronze colour","4","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156294009","https://farm8.staticflickr.com/7790/18156294009_a869b4ece1_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40283","433","Pin","","Horniman Museum,Forest Hill, SE,Bought from Gregory","Switzerland,Swiss Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","202","of head 10","","7.08","No patina","Smooth, golden bronze colour","3.5","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18338495922","https://farm1.staticflickr.com/529/18338495922_419cd842c1_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40284","433","Pin","","ex. R.W. Kennard's,Sotheby's Sale, 25-26.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","74","head 9","","","","","","","","","","Sotheby's Sale catalogue, p. 7","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719867754","https://farm1.staticflickr.com/325/17719867754_9d90039b23_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40285","433","Pin","","ex-R.W. Kennard's,Sotheby's Sale, 25-26.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","124","head 6","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154753610","https://farm9.staticflickr.com/8854/18154753610_3d4e400c51_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40286","433","Pin","","ex R. W. Kennard's,Sotheby's Sale, 25-26.iii.30, Lot 43","Switzerland,Lake Dwelling","Switzerland","46.818188","8.227511999999933","","None","None","None","125","central knob 8","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18338495722","https://farm8.staticflickr.com/7739/18338495722_906262ed32_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40287","433","Pin","","ex R.W. Kennard,Sotheby's Sale, 25-6.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","118","head 8","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18316048556","https://farm8.staticflickr.com/7744/18316048556_f608324783_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40288","433","Pin","","ex R. W. Kennard's,Sotheby's Sale, 25-6.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","130","head 8","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719867334","https://farm1.staticflickr.com/352/17719867334_4ebee55e6c_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40289","433","Pin","","ex R. W. Kennard's,Sotheby's Sale, 25-6.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","124","head 7","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154641658","https://farm8.staticflickr.com/7799/18154641658_e6ae53024c_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40290","433","Pin","","ex R. W. Kennard's,Sotheby's Sale, 25-6.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","146","head 4","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156293039","https://farm8.staticflickr.com/7763/18156293039_cf727f1230_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40291","433","Pin","","ex R. W. Kennard's,Sotheby's Sale, 25-6.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","135","head 6","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154752940","https://farm1.staticflickr.com/487/18154752940_49f6717ff8_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
"40292","433","Pin","","ex R. W. Kennard's,Sotheby's Sale, 25-6.iii.30, Lot 43","Switzerland,Lake Dwellings","Switzerland","46.818188","8.227511999999933","","None","None","None","70","head 6","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719866804","https://farm8.staticflickr.com/7790/17719866804_8e013a63ed_m.jpg","superuser",8.2275,46.8182,"ForeignTools"
